109.97	3389.00	106.50
109.98	3389.00	106.30
110.00	3390.00	106.20
110.02	3390.00	106.00
110.03	3391.00	105.90
110.05	3391.00	105.90
110.07	3392.00	105.90
110.08	3392.00	106.00
110.10	3393.00	106.10
110.12	3393.00	106.20
110.13	3394.00	106.30
110.15	3394.00	106.40
110.17	3395.00	106.60
110.18	3395.00	106.70
110.20	3396.00	106.90
110.22	3396.00	107.00
110.23	3397.00	107.10
110.25	3397.00	107.20
110.27	3398.00	107.20
110.28	3398.00	107.20
110.30	3399.00	107.30
110.32	3399.00	107.30
110.33	3400.00	107.50
110.35	3400.00	107.60
110.37	3401.00	107.80
110.38	3401.00	107.90
110.40	3402.00	108.10
110.42	3402.00	108.30
110.43	3403.00	108.40
110.45	3403.00	108.60
110.47	3404.00	108.80
110.48	3404.00	108.90
110.50	3405.00	109.10
110.52	3406.00	109.30
110.53	3406.00	109.40
110.55	3407.00	109.60
110.57	3407.00	109.80
110.58	3408.00	110.00
110.60	3408.00	110.20
110.62	3409.00	110.30
110.63	3409.00	110.50
110.65	3410.00	110.60
110.67	3410.00	110.80
110.68	3411.00	111.00
110.70	3411.00	111.10
110.72	3412.00	111.30
110.73	3412.00	111.50
110.75	3413.00	111.70
110.77	3413.00	111.80
110.78	3414.00	112.00
110.80	3415.00	112.20
110.82	3415.00	112.40
110.83	3416.00	112.50
110.85	3416.00	112.70
110.87	3417.00	112.90
110.88	3417.00	113.00
110.90	3418.00	113.20
110.92	3418.00	113.30
110.93	3419.00	113.50
110.95	3419.00	113.70
110.97	3420.00	113.80
110.98	3420.00	114.00
111.00	3421.00	114.20
111.02	3422.00	114.30
111.03	3422.00	114.50
111.05	3423.00	114.70
111.07	3423.00	114.80
111.08	3424.00	115.00
111.10	3424.00	115.20
111.12	3425.00	115.30
111.13	3425.00	115.50
111.15	3426.00	115.70
111.17	3426.00	115.80
111.18	3427.00	116.00
111.20	3428.00	116.10
111.22	3428.00	116.30
111.23	3429.00	116.50
111.25	3429.00	116.60
111.27	3430.00	116.80
111.28	3430.00	116.90
111.30	3431.00	117.10
111.32	3431.00	117.30
111.33	3432.00	117.40
111.35	3433.00	117.50
111.37	3433.00	117.70
111.38	3434.00	117.80
111.40	3434.00	118.00
111.42	3435.00	118.20
111.43	3435.00	118.30
111.45	3436.00	118.50
111.47	3437.00	118.70
111.48	3437.00	118.80
111.50	3438.00	119.00
111.52	3438.00	119.10
111.53	3439.00	119.30
111.55	3439.00	119.40
111.57	3440.00	119.60
111.58	3441.00	119.70
111.60	3441.00	119.90
111.62	3442.00	120.00
111.63	3442.00	120.20
111.65	3443.00	120.30
111.67	3443.00	120.50
111.68	3444.00	120.70
111.70	3445.00	120.80
111.72	3445.00	121.00
111.73	3446.00	121.10
111.75	3446.00	121.30
111.77	3447.00	121.40
111.78	3447.00	121.60
111.80	3448.00	121.70
111.82	3449.00	121.90
111.83	3449.00	122.00
111.85	3450.00	122.20
111.87	3450.00	122.30
111.88	3451.00	122.50
111.90	3451.00	122.60
111.92	3452.00	122.80
111.93	3453.00	122.90
111.95	3453.00	123.00
111.97	3454.00	123.20
111.98	3454.00	123.40
112.00	3455.00	123.50
112.02	3456.00	123.60
112.03	3456.00	123.80
112.05	3457.00	123.90
112.07	3457.00	124.00
112.08	3458.00	124.20
112.10	3459.00	124.30
112.12	3459.00	124.50
112.13	3460.00	124.70
112.15	3460.00	124.80
112.17	3461.00	124.90
112.18	3461.00	125.10
112.20	3462.00	125.20
112.22	3463.00	125.40
112.23	3463.00	125.50
112.25	3464.00	125.60
112.27	3464.00	125.80
112.28	3465.00	125.90
112.30	3466.00	126.10
112.32	3466.00	126.20
112.33	3467.00	126.40
112.35	3467.00	126.50
112.37	3468.00	126.60
112.38	3469.00	126.70
112.40	3469.00	126.90
112.42	3470.00	127.00
112.43	3470.00	127.20
112.45	3471.00	127.30
112.47	3472.00	127.40
112.48	3472.00	127.60
112.50	3473.00	127.70
112.52	3473.00	127.90
112.53	3474.00	128.00
112.55	3475.00	128.10
112.57	3475.00	128.30
112.58	3476.00	128.40
112.60	3477.00	128.50
112.62	3477.00	128.70
112.63	3478.00	128.80
112.65	3478.00	128.90
112.67	3479.00	129.10
112.68	3480.00	129.20
112.70	3480.00	129.30
112.72	3481.00	129.50
112.73	3481.00	129.60
112.75	3482.00	129.80
112.77	3483.00	129.90
112.78	3483.00	130.00
112.80	3484.00	130.20
112.82	3485.00	130.30
112.83	3485.00	130.40
112.85	3486.00	130.60
112.87	3486.00	130.70
112.88	3487.00	130.80
112.90	3488.00	130.90
112.92	3488.00	131.10
112.93	3489.00	131.20
112.95	3489.00	131.30
112.97	3490.00	131.50
112.98	3491.00	131.60
113.00	3491.00	131.70
113.02	3492.00	131.80
113.03	3493.00	131.90
113.05	3493.00	132.10
113.07	3494.00	132.20
113.08	3494.00	132.30
113.10	3495.00	132.50
113.12	3496.00	132.60
113.13	3496.00	132.70
113.15	3497.00	132.90
113.17	3498.00	132.90
113.18	3498.00	133.10
113.20	3499.00	133.20
113.22	3500.00	133.30
113.23	3500.00	133.40
113.25	3501.00	133.60
113.27	3501.00	133.70
113.28	3502.00	133.80
113.30	3503.00	133.90
113.32	3503.00	134.00
113.33	3504.00	134.10
113.35	3505.00	134.20
113.37	3505.00	134.30
113.38	3506.00	134.40
113.40	3506.00	134.40
113.42	3507.00	134.50
113.43	3508.00	134.50
113.45	3508.00	134.50
113.47	3509.00	134.50
113.48	3510.00	134.40
113.50	3510.00	134.30
113.52	3511.00	134.30
113.53	3511.00	134.20
113.55	3512.00	134.10
113.57	3513.00	133.90
113.58	3513.00	133.80
113.60	3514.00	133.80
113.62	3515.00	133.70
113.63	3515.00	133.60
113.65	3516.00	133.60
113.67	3516.00	133.60
113.68	3517.00	133.50
113.70	3518.00	133.50
